Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Martín Montoya\Martin-Montoya,ESP,DF,Brighton,28,1991,21.1,1485,68,442,665,480,41,1252,19,34,55.9,19,4,902,4907,2989,1012,912,90.1,30,19
Simon Moore\Simon-Moore,ENG,GK,Sheffield Utd,29,1990,2,51,44,50,1,0,0,28,0,0,,0,0,15,108,59,11,11,100,0,0
Aaron Mooy\Aaron-Mooy,AUS,MFFW,Brighton,28,1990,23.2,1359,40,203,623,640,42,1279,37,51,72.5,39,0,968,6450,3152,1104,927,84,30,54
Wesley Moraes\Wesley-Moraes,BRA,FW,Aston Villa,22,1996,19.8,600,28,45,289,294,97,583,14,22,63.6,14,1,353,1723,565,874,437,50,61,30
Wes Morgan\Wes-Morgan,JAM,DF,Leicester City,35,1984,4.8,288,22,137,152,8,4,284,2,2,100,2,0,189,867,326,197,194,98.5,3,0
Ravel Morrison\Ravel-Morrison,ENG,MF,Sheffield Utd,26,1993,0.1,8,0,0,4,4,1,8,0,0,,0,0,7,53,15,8,6,75,0,1
Mason Mount\Mason-Mount,ENG,MFFW,Chelsea,20,1999,31.9,1757,25,164,822,895,150,1609,47,77,61,49,3,1327,7853,4318,1699,1265,74.5,75,66
Lucas Moura\Lucas-Moura,BRA,FWMF,Tottenham,26,1992,24.9,1190,31,146,606,548,86,1177,71,114,62.3,75,3,889,6418,3822,1201,830,69.1,57,69
Lys Mousset\Lys-Mousset,FRA,FW,Sheffield Utd,23,1996,13.8,431,2,22,192,249,80,423,34,53,64.2,37,4,337,2210,1206,739,310,41.9,46,40
João Moutinho\Joao-Moutinho,POR,MF,Wolves,32,1986,34.5,2294,48,421,1270,698,11,1973,21,29,72.4,23,0,1366,6150,3317,1512,1374,90.9,15,20
Glenn Murray\Glenn-Murray,ENG,FW,Brighton,35,1983,8.9,273,11,24,120,138,42,267,1,5,20,1,0,162,504,197,435,206,47.4,25,14
Shkodran Mustafi\Shkodran-Mustafi,GER,DF,Arsenal,27,1992,13.4,954,124,472,513,31,14,939,2,2,100,2,0,589,3454,2115,671,659,98.2,1,2
Yoshinori Mutō\Yoshinori-Muto,JPN,FWMF,Newcastle Utd,27,1992,2.4,51,0,7,27,24,3,50,6,7,85.7,6,0,45,347,190,80,35,43.8,6,6
Georges-Kévin N'Koudou\Georges-Kevin-NKoudou,FRA,FW,Tottenham,24,1995,0,1,0,0,0,1,1,1,0,0,,0,0,1,25,25,3,1,33.3,0,0
Marvelous Nakamba\Marvelous-Nakamba,ZIM,MF,Aston Villa,25,1994,20.4,1013,91,348,553,162,4,991,14,20,70,16,1,593,2960,1086,572,543,94.9,6,14
Wilfred Ndidi\Wilfred-Ndidi,NGA,MF,Leicester City,22,1996,29.7,2049,103,571,1276,302,21,2032,24,30,80,25,3,1223,5449,2099,1303,1233,94.6,18,26
Tanguy Ndombele\Tanguy-Ndombele,FRA,MF,Tottenham,22,1996,11.2,772,20,140,457,223,27,758,36,50,72,38,2,614,3156,1847,611,563,92.1,15,16
Reiss Nelson\Reiss-Nelson,ENG,FW,Arsenal,19,1999,7,328,6,49,152,158,34,310,16,29,55.2,17,0,249,1756,1033,320,235,73.4,14,14
Pedro Neto\Pedro-Neto,POR,FWMF,Wolves,19,2000,10.4,538,6,56,264,280,44,511,32,58,55.2,38,2,421,3857,2356,558,385,69,22,25
Rúben Neves\Ruben-Neves,POR,MF,Wolves,22,1997,34,2285,79,532,1449,395,4,2221,25,32,78.1,27,0,1495,5793,2766,1569,1500,95.6,11,11
Jeremy Ngakia\Jeremy-Ngakia,ENG,DF,West Ham,18,2000,4.9,220,20,103,90,44,1,177,8,12,66.7,8,0,113,802,540,101,88,87.1,4,4
Oumar Niasse\Oumar-Niasse,SEN,FW,Everton,29,1990,0.2,18,0,1,9,8,1,18,1,1,100,1,0,10,57,29,17,11,64.7,1,6
Eddie Nketiah\Eddie-Nketiah,ENG,FW,Arsenal,20,1999,7,234,8,29,128,93,30,223,10,16,62.5,11,1,174,1064,454,266,166,62.4,26,18
Mark Noble\Mark-Noble,ENG,MF,West Ham,32,1987,29.7,1735,37,309,1098,418,30,1626,29,41,70.7,32,0,1169,5691,2492,1324,1175,88.7,31,30
Oliver Norwood\Oliver-Norwood,NIR,MF,Sheffield Utd,28,1991,34.3,2410,90,529,1388,567,3,2194,15,17,88.2,15,0,1368,4256,1838,1530,1479,96.7,10,14
Ørjan Nyland\Orjan-Nyland,NOR,GK,Aston Villa,28,1990,6,194,168,189,5,0,0,123,0,0,,0,0,85,612,360,75,74,98.7,0,0
Jack O'Connell\Jack-OConnell,ENG,DF,Sheffield Utd,25,1994,32.4,1964,185,833,918,298,51,1880,8,13,61.5,8,0,1130,4536,2120,1182,1121,94.8,13,11
Michael Obafemi\Michael-Obafemi,IRL,FW,Southampton,19,2000,7.4,238,0,14,114,123,37,236,18,31,58.1,20,0,188,1059,531,329,182,55.3,29,18
Angelo Ogbonna\Angelo-Ogbonna,ITA,DF,West Ham,31,1988,31,1278,244,706,582,51,29,1259,2,3,66.7,2,0,634,4169,1604,646,620,96,6,2
Divock Origi\Divock-Origi,BEL,FW,Liverpool,24,1995,8,342,6,26,142,202,45,340,11,26,42.3,13,1,255,1863,1166,387,256,66.1,21,24
Ben Osborn\Ben-Osborn,ENG,MFDF,Sheffield Utd,24,1994,6.6,323,18,69,131,145,16,309,3,6,50,3,0,178,1018,449,239,199,83.3,8,4
Nicolás Otamendi\Nicolas-Otamendi,ARG,DF,Manchester City,31,1988,19.1,1660,195,709,1038,46,30,1647,3,3,100,3,0,1214,7719,4403,1352,1331,98.4,7,2
Alex Oxlade-Chamberlain\Alex-Oxlade-Chamberlain,ENG,MFFW,Liverpool,25,1993,16.5,966,13,86,525,435,47,952,35,55,63.6,36,0,703,4414,2241,885,731,82.6,33,37
Mesut Özil\Mesut-Ozil,GER,MF,Arsenal,30,1988,16,1016,9,120,529,461,46,931,21,31,67.7,23,3,781,4714,2368,960,799,83.2,27,29
Emerson Palmieri\Emerson-Palmieri,ITA,DF,Chelsea,24,1994,11.4,990,34,248,468,345,33,859,14,22,63.6,16,0,648,3468,2234,689,644,93.5,11,9
Sokratis Papastathopoulos\Sokratis-Papastathopoulos,GRE,DF,Arsenal,31,1988,18.8,1166,206,707,481,39,13,1126,5,6,83.3,5,0,794,3839,2028,858,839,97.8,4,6
Troy Parrott\Troy-Parrott,IRL,MF,Tottenham,17,2002,0.1,5,0,2,3,0,0,4,0,0,,0,0,4,16,1,8,4,50,0,0
Rui Patrício\Rui-Patricio,POR,GK,Wolves,31,1988,38,903,840,901,3,0,0,547,0,0,,0,0,339,1685,967,238,235,98.7,0,0
Pedro\Pedro,ESP,FW,Chelsea,32,1987,7.3,424,5,52,212,194,44,422,16,27,59.3,17,1,343,2326,1063,395,321,81.3,12,7
João Pedro\Joao-Pedro,BRA,FWMF,Watford,17,2001,0.3,18,0,3,7,10,3,18,3,3,100,3,0,14,192,106,20,14,70,0,1
Nicolas Pépé\Nicolas-Pepe,CIV,FW,Arsenal,24,1995,22.3,1126,10,141,466,630,111,1043,72,132,54.5,77,7,940,7289,4652,1103,825,74.8,56,64
Andreas Pereira\Andreas-Pereira,BRA,MFFW,Manchester Utd,23,1996,16.5,990,12,102,501,458,62,911,20,38,52.6,23,0,717,4382,2364,879,715,81.3,41,41
Ricardo Pereira\Ricardo-Pereira,POR,DF,Leicester City,25,1993,28,2330,107,595,1151,747,62,2018,59,88,67,63,1,1463,8459,5867,1560,1438,92.2,32,55
Roberto Pereyra\Roberto-Pereyra,ARG,FWMF,Watford,28,1991,18.3,898,16,139,441,396,57,855,25,61,41,28,0,670,4700,2712,876,621,70.9,48,36
Ayoze Pérez\Ayoze-Perez,ESP,MFFW,Leicester City,26,1993,22.3,1107,15,143,494,537,115,1087,44,68,64.7,47,1,796,4259,2333,1122,804,71.7,48,79
Jordan Pickford\Jordan-Pickford,ENG,GK,Everton,25,1994,38,1456,1265,1438,19,0,0,1042,0,1,0,0,0,723,3890,2089,636,634,99.7,0,0
Erik Pieters\Erik-Pieters,NED,DFMF,Burnley,30,1988,20.9,1211,79,320,629,322,21,1028,4,13,30.8,6,2,590,2936,1649,643,590,91.8,15,14
Daniel Podence\Daniel-Podence,POR,FWMF,Wolves,23,1995,3.2,153,2,15,69,84,16,150,9,13,69.2,10,0,113,910,570,159,117,73.6,3,8
Paul Pogba\Paul-Pogba,FRA,MF,Manchester Utd,26,1993,13.4,1178,34,210,753,289,29,1151,22,35,62.9,25,1,896,4007,2096,952,908,95.4,13,26
Nick Pope\Nick-Pope,ENG,GK,Burnley,27,1992,38,1284,1067,1252,30,2,1,829,0,0,,0,0,540,3471,2360,379,378,99.7,0,0
Dennis Praet\Dennis-Praet,BEL,MF,Leicester City,25,1994,12.6,695,26,160,362,217,22,689,16,32,50,18,0,461,2412,1275,537,455,84.7,29,13
Sebastian Prödl\Sebastian-Prodl,AUT,DF,Watford,32,1987,0.6,16,3,8,6,2,2,16,0,0,,0,0,5,6,0,7,7,100,0,0
Davy Pröpper\Davy-Propper,NED,MF,Brighton,27,1991,31.4,2097,73,534,1266,456,29,2076,40,65,61.5,41,2,1517,9197,4258,1601,1498,93.6,32,35
Teemu Pukki\Teemu-Pukki,FIN,FW,Norwich City,29,1990,32.1,794,14,70,315,453,177,725,27,46,58.7,28,6,507,3530,2018,1143,531,46.5,50,37
Christian Pulisic\Christian-Pulisic,USA,FW,Chelsea,20,1998,19.1,1027,6,100,462,568,142,1020,50,101,49.5,56,2,848,6790,4411,1122,836,74.5,49,65
Ignacio Pussetto\Ignacio-Pussetto,ARG,FWDF,Watford,23,1995,0.8,58,3,22,25,13,1,54,1,5,20,2,0,27,169,70,29,22,75.9,2,5
Domingos Quina\Domingos-Quina,POR,MF,Watford,19,1999,0.2,19,0,6,10,4,0,19,1,2,50,1,0,14,96,52,18,11,61.1,1,2
Aaron Ramsdale\Aaron-Ramsdale,ENG,GK,Bournemouth,21,1998,37,1245,1120,1231,15,0,0,826,0,0,,0,0,544,3108,1779,410,406,99,0,0
Darren Randolph\Darren-Randolph,IRL,GK,West Ham,32,1987,2,47,42,47,0,0,0,29,0,0,,0,0,16,128,100,11,11,100,0,0
Marcus Rashford\Marcus-Rashford,ENG,FW,Manchester Utd,21,1997,29.4,1378,20,91,558,854,164,1332,72,132,54.5,77,13,1019,7483,5231,1557,1103,70.8,71,48
Nathan Redmond\Nathan-Redmond,ENG,MFFW,Southampton,25,1994,30.7,1443,29,186,669,728,123,1424,90,146,61.6,98,5,1159,9694,5840,1430,1011,70.7,56,58
Pepe Reina\Pepe-Reina,ESP,GK,Aston Villa,36,1982,12,427,373,422,6,0,0,288,0,0,,0,0,175,1005,557,176,175,99.4,1,0
Declan Rice\Declan-Rice,ENG,MF,West Ham,20,1999,38,2084,111,631,1306,305,29,2052,41,53,77.4,43,0,1366,9214,3924,1351,1267,93.8,19,28
Richarlison\Richarlison,BRA,FW,Everton,22,1997,34.1,1374,53,178,582,730,181,1352,66,106,62.3,70,2,996,7818,4541,1508,939,62.3,90,100
Diego Rico\Diego-Rico,ESP,DF,Bournemouth,26,1993,25.9,1825,97,636,772,489,13,1452,19,40,47.5,23,5,863,4030,2190,893,838,93.8,13,21
Jaïro Riedewald\Jairo-Riedewald,NED,DFMF,Crystal Palace,22,1996,8.5,482,35,148,257,101,8,408,11,15,73.3,11,1,263,1070,577,280,253,90.4,8,8
Matt Ritchie\Matt-Ritchie,SCO,DFMF,Newcastle Utd,29,1989,14.6,850,46,226,348,319,14,697,11,16,68.8,12,0,472,2829,1380,555,461,83.1,7,11
Roberto\Roberto,ESP,GK,West Ham,33,1986,7.6,265,235,262,4,0,0,188,0,0,,0,0,106,587,368,85,84,98.8,0,0
Patrick Roberts\Patrick-Roberts,ENG,MFFW,Norwich City,22,1997,0.3,13,0,2,9,3,0,12,3,3,100,3,0,14,110,76,12,11,91.7,0,0
Andrew Robertson\Andrew-Robertson,SCO,DF,Liverpool,25,1994,34.6,3265,100,684,1615,1221,95,2879,24,48,50,30,0,2164,11411,7066,2438,2276,93.4,39,20
Callum Robinson\Callum-Robinson,IRL,FW,Sheffield Utd,24,1995,7.5,230,0,23,97,124,31,221,7,15,46.7,9,0,176,1048,519,366,165,45.1,14,17
Jack Robinson\Jack-Robinson,ENG,DF,Sheffield Utd,25,1993,5.6,332,32,140,175,35,0,307,2,2,100,2,0,186,941,500,184,179,97.3,5,2
Rodri\Rodri,ESP,MF,Manchester City,23,1996,27.6,2777,87,566,1900,490,30,2754,25,31,80.6,26,0,2069,9558,5203,2266,2191,96.7,10,21
Jay Rodriguez\Jay-Rodriguez,ENG,FW,Burnley,30,1989,22.4,805,19,74,357,410,92,790,19,42,45.2,22,1,458,2694,1183,1093,561,51.3,64,41
Jack Rodwell\Jack-Rodwell,ENG,MF,Sheffield Utd,28,1991,0.2,3,1,3,0,0,0,3,0,0,,0,0,1,7,7,1,1,100,0,0
Marcos Rojo\Marcos-Rojo,ARG,DF,Manchester Utd,29,1990,1.4,70,9,24,35,12,3,60,0,1,0,0,0,39,201,87,41,40,97.6,1,0
Oriol Romeu\Oriol-Romeu,ESP,MF,Southampton,27,1991,20.7,1261,64,286,821,210,5,1242,13,16,81.3,13,0,735,3165,1629,768,728,94.8,9,8
Danny Rose\Danny-Rose,ENG,DF,Newcastle Utd,29,1990,9.6,505,25,182,274,81,4,449,3,6,50,3,0,293,1365,743,312,290,92.9,2,4
Danny Rose\Danny-Rose,ENG,DF,Tottenham,29,1990,9.9,682,47,194,340,201,14,594,11,22,50,14,1,443,2481,1435,428,415,97,5,7
Antonio Rüdiger\Antonio-Rudiger,GER,DF,Chelsea,26,1993,19,1642,194,811,905,67,14,1611,0,0,,0,0,1137,6642,3843,1201,1193,99.3,2,5
Lukas Rupp\Lukas-Rupp,GER,FWMF,Norwich City,28,1991,7.7,342,19,95,176,91,15,335,9,15,60,9,0,231,1128,408,281,216,76.9,13,13
Mathew Ryan\Mathew-Ryan,AUS,GK,Brighton,27,1992,38,1547,1300,1542,6,1,1,1221,0,0,,0,0,896,3951,1855,845,841,99.5,1,0
Allan Saint-Maximin\Allan-Saint-Maximin,FRA,MFFW,Newcastle Utd,22,1997,20.7,795,9,136,333,433,80,787,102,151,67.5,106,3,768,7822,5395,773,584,75.5,53,61
Romain Saïss\Romain-Saiss,MAR,DF,Wolves,29,1990,30.1,1932,175,925,1009,89,26,1892,7,9,77.8,8,1,1058,4696,2514,1201,1165,97,6,8
Bukayo Saka\Bukayo-Saka,ENG,DFFW,Arsenal,17,2001,19.5,1069,40,271,470,405,61,948,31,48,64.6,31,2,726,4770,3010,835,696,83.4,32,37
Mamadou Sakho\Mamadou-Sakho,FRA,DF,Crystal Palace,29,1990,10.3,608,93,354,284,11,3,591,5,6,83.3,5,0,368,1734,867,388,378,97.4,3,2
Mohamed Salah\Mohamed-Salah,EGY,FW,Liverpool,27,1992,32,1405,4,57,406,1022,318,1349,66,99,66.7,70,3,1069,6402,3895,1815,1109,61.1,85,79
Mbwana Samatta\Mbwana-Samatta,TAN,FW,Aston Villa,26,1992,10.5,277,6,15,124,148,29,269,9,15,60,9,0,161,916,269,430,203,47.2,26,11
Carlos Sánchez\Carlos-Sanchez,COL,MFDF,West Ham,33,1986,1.3,66,3,11,49,8,0,66,1,1,100,1,0,30,100,29,37,33,89.2,0,1
Davinson Sánchez\Davinson-Sanchez,COL,DF,Tottenham,23,1996,27,1791,284,984,848,50,17,1754,8,11,72.7,8,0,1178,5694,2571,1210,1199,99.1,6,5
Leroy Sané\Leroy-Sane,GER,FW,Manchester City,23,1996,0.1,9,0,0,3,7,1,8,0,0,,0,0,7,54,23,9,8,88.9,0,0
Ismaila Sarr\Ismaila-Sarr,SEN,FWMF,Watford,21,1998,22.5,931,14,115,359,560,114,922,52,101,51.5,55,1,777,6444,4111,1052,692,65.8,65,59
Fabian Schär\Fabian-Schar,SUI,DFMF,Newcastle Utd,27,1991,18.6,1016,129,572,426,86,15,953,16,19,84.2,16,1,569,3708,2391,564,540,95.7,6,12
Ezequiel Schelotto\Ezequiel-Schelotto,ITA,DF,Brighton,30,1989,4,232,13,79,82,90,10,192,6,9,66.7,6,1,127,1042,584,153,123,80.4,11,5
Jeffrey Schlupp\Jeffrey-Schlupp,GHA,MFDF,Crystal Palace,26,1992,11.5,496,16,116,235,176,33,476,13,23,56.5,14,1,318,1874,1134,402,321,79.9,21,31
Kasper Schmeichel\Kasper-Schmeichel,DEN,GK,Leicester City,32,1986,38,1245,1080,1228,21,0,0,889,0,1,0,0,0,614,2865,1523,560,557,99.5,0,0
Morgan Schneiderlin\Morgan-Schneiderlin,FRA,MF,Everton,29,1989,11.1,681,26,161,449,102,7,665,3,3,100,3,0,394,1752,751,459,428,93.2,4,7
Ryan Sessegnon\Ryan-Sessegnon,ENG,DF,Tottenham,19,2000,3.8,238,8,53,107,89,9,211,2,3,66.7,2,0,151,704,448,168,150,89.3,8,3
Xherdan Shaqiri\Xherdan-Shaqiri,SUI,FW,Liverpool,27,1991,2.1,129,1,18,65,50,3,116,2,4,50,2,0,90,363,132,119,96,80.7,3,5
Billy Sharp\Billy-Sharp,ENG,FW,Sheffield Utd,33,1986,11.7,334,1,29,122,210,70,328,13,20,65,13,1,255,1572,721,523,254,48.6,24,30
Luke Shaw\Luke-Shaw,ENG,DF,Manchester Utd,24,1995,19.3,1484,77,419,719,469,34,1329,24,33,72.7,25,1,961,5488,3280,1016,956,94.1,11,5
Jonjo Shelvey\Jonjo-Shelvey,ENG,MF,Newcastle Utd,27,1992,23.5,1293,58,371,700,290,22,1162,20,26,76.9,21,0,779,3990,1895,874,792,90.6,13,13
Djibril Sidibé\Djibril-Sidibe,FRA,DF,Everton,27,1992,20.3,1420,59,417,697,407,19,1226,14,26,53.8,16,4,825,4617,2578,884,791,89.5,24,21
Gylfi Sigurðsson\Gylfi-Sigurdsson,ISL,MF,Everton,29,1989,28.4,1410,37,226,721,509,55,1273,23,38,60.5,26,2,858,3675,1447,1006,846,84.1,33,34
Bernardo Silva\Bernardo-Silva,POR,FWMF,Manchester City,24,1994,22.6,1686,21,194,753,864,161,1633,43,64,67.2,45,0,1285,8101,4725,1515,1325,87.5,15,22
David Silva\David-Silva,ESP,MF,Manchester City,33,1986,20.3,1702,19,140,823,856,181,1645,34,50,68,35,0,1261,6626,3601,1613,1404,87,29,19
Jack Simpson\Jack-Simpson,ENG,DF,Bournemouth,22,1997,2.7,129,19,65,61,5,1,115,2,3,66.7,2,0,76,342,98,69,64,92.8,2,0
Moussa Sissoko\Moussa-Sissoko,FRA,MF,Tottenham,29,1989,27.2,1537,77,388,864,394,32,1476,41,67,61.2,46,4,1035,6809,3739,1123,997,88.8,21,31
Oliver Skipp\Oliver-Skipp,ENG,MFDF,Tottenham,18,2000,0.9,46,1,16,30,2,0,46,2,2,100,2,0,30,132,68,27,26,96.3,1,1
William Smallbone\William-Smallbone,IRL,MF,Southampton,19,2000,4.4,251,4,45,135,81,6,244,2,4,50,2,0,159,648,283,193,175,90.7,2,3
Adam Smith\Adam-Smith,ENG,DF,Bournemouth,28,1991,22.8,1326,70,414,657,368,25,1128,26,52,50,30,4,786,5939,3478,798,738,92.5,23,21
Emile Smith-Rowe\Emile-Smith-Rowe,ENG,MF,Arsenal,19,2000,1.1,50,3,12,30,16,0,50,1,1,100,1,0,36,281,180,47,39,83,5,2
Robert Snodgrass\Robert-Snodgrass,SCO,MFFW,West Ham,31,1987,16.8,805,16,140,310,397,60,707,15,27,55.6,16,1,511,3373,1687,664,501,75.5,12,35
Cédric Soares\Cedric-Soares,POR,DF,Southampton,27,1991,14.5,910,55,268,426,260,17,715,3,7,42.9,3,0,397,2317,1148,463,416,89.8,13,9
Cédric Soares\Cedric-Soares,POR,DF,Arsenal,27,1991,2.8,161,5,40,68,59,2,141,2,2,100,2,0,90,484,254,102,94,92.2,3,2
Dominic Solanke\Dominic-Solanke,ENG,FWMF,Bournemouth,21,1997,18.3,695,20,86,323,334,83,670,30,57,52.6,31,0,479,3383,1841,818,471,57.6,58,55
Tomáš Souček\Tomas-Soucek,CZE,MF,West Ham,24,1995,11.6,530,50,155,271,118,34,525,1,6,16.7,2,1,238,838,318,377,291,77.2,8,2
Çağlar Söyüncü\Caglar-Soyuncu,TUR,DF,Leicester City,23,1996,33.7,2630,296,1371,1330,83,33,2580,18,22,81.8,19,0,1753,10456,4677,1852,1829,98.8,8,8
Dennis Srbeny\Dennis-Srbeny,GER,MFFW,Norwich City,25,1994,0.5,38,1,5,19,15,3,38,1,4,25,1,1,26,94,44,44,27,61.4,2,3
Jack Stacey\Jack-Stacey,ENG,DF,Bournemouth,23,1996,17.2,961,89,360,432,236,26,809,16,26,61.5,19,0,512,3391,1934,550,478,86.9,16,13
Junior Stanislas\Junior-Stanislas,ENG,MFDF,Bournemouth,29,1989,7.9,387,10,68,148,196,18,348,13,21,61.9,14,2,271,1781,978,309,255,82.5,10,9
Jed Steer\Jed-Steer,ENG,GK,Aston Villa,26,1992,0.1,2,2,2,0,0,0,1,0,0,,0,0,1,0,0,1,1,100,0,0
Dale Stephens\Dale-Stephens,ENG,MF,Brighton,30,1989,28.1,1901,93,575,1140,291,9,1884,10,11,90.9,10,0,1281,6014,2256,1388,1319,95,11,16
Jack Stephens\Jack-Stephens,ENG,DF,Southampton,25,1994,27.2,1545,211,824,785,44,16,1498,8,12,66.7,8,1,811,4999,2799,862,840,97.4,8,7
Raheem Sterling\Raheem-Sterling,ENG,FW,Manchester City,24,1994,29.5,1635,12,92,572,1086,297,1615,59,128,46.1,67,3,1328,8796,5843,1688,1343,79.6,51,71
Enda Stevens\Enda-Stevens,IRL,DF,Sheffield Utd,29,1990,37.2,2300,93,522,983,927,82,1980,61,86,70.9,63,6,1445,8133,4616,1477,1351,91.5,39,56
Marco Stiepermann\Marco-Stiepermann,GER,MF,Norwich City,28,1991,13.1,554,26,90,292,212,41,534,20,34,58.8,22,3,392,2459,1439,574,404,70.4,23,21
John Stones\John-Stones,ENG,DF,Manchester City,25,1994,12.5,1100,110,439,705,57,11,1086,3,4,75,4,0,766,5534,3318,866,852,98.4,2,0
Isaac Success\Isaac-Success,NGA,FWMF,Watford,23,1996,0.8,33,0,2,11,24,3,33,1,4,25,2,0,28,168,95,55,27,49.1,3,2
Ki Sung-yueng\Ki-Sung-yueng,KOR,MF,Newcastle Utd,30,1989,1.5,79,3,24,37,25,1,74,3,3,100,3,0,56,278,135,53,51,96.2,1,1
Andrew Surman\Andrew-Surman,ENG,MF,Bournemouth,32,1986,2.6,148,9,57,73,22,0,139,1,1,100,1,0,73,325,94,83,79,95.2,3,1
Sam Surridge\Sam-Surridge,ENG,FW,Bournemouth,21,1998,0.3,20,0,2,5,13,5,20,1,2,50,1,0,11,72,46,36,17,47.2,4,1
Japhet Tanganga\Japhet-Tanganga,ENG,DF,Tottenham,20,1999,5.8,320,32,137,162,38,2,286,7,10,70,7,0,166,855,455,171,156,91.2,5,8
Matt Targett\Matt-Targett,ENG,DF,Aston Villa,23,1995,25.5,1501,124,512,648,418,33,1264,10,23,43.5,14,1,758,3296,1854,833,771,92.6,6,20
James Tarkowski\James-Tarkowski,ENG,DF,Burnley,26,1992,38,1813,313,959,797,111,72,1785,15,16,93.8,16,0,731,3509,1426,832,792,95.2,14,5
Charlie Taylor\Charlie-Taylor,ENG,DF,Burnley,25,1993,21.6,1321,110,437,595,375,10,1048,19,39,48.7,22,3,613,5186,2515,657,614,93.5,12,17
Neil Taylor\Neil-Taylor,WAL,DF,Aston Villa,30,1989,12.1,631,64,230,296,124,5,532,2,3,66.7,2,0,303,1126,574,363,322,88.7,4,2
Nathan Tella\Nathan-Tella,ENG,FW,Southampton,20,1999,0,3,0,0,1,2,1,3,0,0,,0,0,2,6,4,3,2,66.7,0,0
Alexander Tettey\Alexander-Tettey,NOR,MFDF,Norwich City,33,1986,26,1494,127,564,839,177,12,1482,16,24,66.7,19,0,951,4914,2235,983,948,96.4,22,12
Max Thompson\Max-Thompson,ENG,FW,Burnley,17,2002,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0
Youri Tielemans\Youri-Tielemans,BEL,MF,Leicester City,22,1997,31.4,2141,31,327,1166,762,59,2049,30,45,66.7,31,2,1461,6179,3375,1773,1586,89.5,33,51
Kieran Tierney\Kieran-Tierney,SCO,DF,Arsenal,22,1997,11,664,41,218,280,197,17,579,12,16,75,12,1,381,2162,1125,422,385,91.2,12,6
James Tomkins\James-Tomkins,ENG,DF,Crystal Palace,30,1989,17.6,857,156,563,294,34,21,829,1,1,100,1,0,399,1793,891,456,442,96.9,1,3
Fikayo Tomori\Fikayo-Tomori,ENG,DF,Chelsea,21,1997,14.3,1277,148,699,605,50,8,1261,7,11,63.6,9,0,936,4464,2162,959,944,98.4,4,5
Lucas Torreira\Lucas-Torreira,URU,MF,Arsenal,23,1996,16.8,1091,58,306,663,187,31,1061,13,16,81.3,13,1,727,3409,1553,767,709,92.4,11,16
Cenk Tosun\Cenk-Tosun,TUR,FW,Crystal Palace,28,1991,2,69,1,10,34,28,10,69,7,8,87.5,7,0,56,343,178,124,54,43.5,5,4
Cenk Tosun\Cenk-Tosun,TUR,FW,Everton,28,1991,3.2,96,1,6,29,65,25,95,1,5,20,1,0,53,268,81,133,73,54.9,3,2
Andros Townsend\Andros-Townsend,ENG,MF,Crystal Palace,28,1991,14.4,647,15,117,314,302,29,618,36,51,70.6,38,1,515,4602,2293,547,419,76.6,28,36
Adama Traoré\Adama-Traore,ESP,FWMF,Wolves,23,1996,28.9,1400,28,151,666,767,118,1346,156,211,73.9,161,3,1252,13212,8670,1394,1045,75,82,90
Mark Travers\Mark-Travers,IRL,GK,Bournemouth,20,1999,1,33,33,33,0,0,0,24,0,0,,0,0,14,62,30,17,17,100,0,0
Trézéguet\Trezeguet,EGY,FWMF,Aston Villa,24,1994,21.7,775,25,138,293,418,84,752,40,75,53.3,45,7,537,4416,2744,855,518,60.6,64,29
Leandro Trossard\Leandro-Trossard,BEL,FWMF,Brighton,24,1994,22.3,1039,21,131,419,573,117,1000,34,60,56.7,36,1,818,5551,2809,1030,768,74.6,41,47
Tom Trybull\Tom-Trybull,GER,MF,Norwich City,26,1993,12.6,756,59,253,459,86,13,742,7,9,77.8,7,0,497,2281,851,513,475,92.6,11,10
Axel Tuanzebe\Axel-Tuanzebe,ENG,DF,Manchester Utd,21,1997,2.1,166,8,59,95,26,0,154,0,3,0,0,0,111,774,408,113,109,96.5,1,2
Yan Valery\Yan-Valery,FRA,DF,Southampton,20,1999,8.7,455,28,139,189,151,10,361,12,25,48,13,0,207,1566,805,243,180,74.1,13,19
Jesús Vallejo\Jesus-Vallejo,ESP,DF,Wolves,22,1997,1.8,124,20,61,64,6,1,124,1,1,100,1,0,85,322,170,90,83,92.2,1,1
Jamie Vardy\Jamie-Vardy,ENG,FW,Leicester City,32,1987,33.7,734,28,37,305,423,187,671,25,44,56.8,28,1,402,3224,2002,1222,503,41.2,60,23
Indiana Vassilev\Indiana-Vassilev,USA,FWMF,Aston Villa,18,2001,0.6,16,0,0,3,14,3,15,1,2,50,2,0,15,79,20,31,10,32.3,1,1
Jan Vertonghen\Jan-Vertonghen,BEL,DF,Tottenham,32,1987,18.3,1327,165,620,689,84,6,1227,2,5,40,2,0,785,4062,2044,833,819,98.3,4,6
Jannik Vestergaard\Jannik-Vestergaard,DEN,DF,Southampton,26,1992,16.6,1040,119,489,563,48,15,995,3,5,60,3,0,534,2834,1556,580,568,97.9,3,4
